skill,counts
python,4440
sql,4397
data analyst,3417
data visualization,2328
problemsolving,2319
machine learning,2065
project management,1725
tableau,1644
aws,1615
data management,1526
r,1505
spark,1372
powerbi,1345
teamwork,1247
java,1237
analytic skills,1194
data science,1166
data governance,1098
business intelligence,1097
cloud computing,1076
data engineer,1073
data analytics,1071
hadoop,1045
attention to detail,1025
statistics,1020
collaboration,1002
snowflake,1000
data mining,987
scala,982
computer science,980
data quality,908
bachelors degree,894
azure,866
leadership,833
agile,828
etl,818
time management,801
reporting,793
data security,749
excel,740
nosql,735
kafka,715
troubleshooting,708
data architecture,700
data architect,689
tensorflow,668
artificial intelligence,648
hive,619
statistical analysis,604
software development,602
pytorch,599
deep learning,577
big data,563
engineering,543
kubernetes,529
interpersonal skills,524
redshift,516
mysql,514
sas,513
linux,512
databricks,503
data cleaning,503
docker,500
organization skills,498
critical thinking,494
problemsolving skills,488
jira,485
api development,471
devops,463
data processing,444
business analyst,435
data transformation,427
software engineering,422
oracle,418
data integrity,415
git,414
presentation skills,409
airflow,408
analytics,408
sql server,405
gcp,402
database,401
documentation,391
postgres,389
microsoft office suite,388
quality control,387
mathematics,383
data collection,382
data warehouse,377
risk management,375
mentoring,374
data lake,372
communication,5006
relational database,366
emr,364
automation,358
